iter	Logloss
0	0.3708060297
1	0.2535949274
2	0.198164741
3	0.1709508631
4	0.1571430677
5	0.1507646574
6	0.1477518297
7	0.1453840577
8	0.1446242015
9	0.1444497844
10	0.1439976455
11	0.143064968
12	0.1429087157
13	0.1420652366
14	0.1418692267
15	0.1414595937
16	0.1413340855
17	0.1412117098
18	0.1409819315
19	0.1409231621
20	0.1401528346
21	0.1400914743
22	0.1400507809
23	0.1399759843
24	0.1396331098
25	0.1395005189
26	0.1394636673
27	0.1391922696
28	0.1390945307
29	0.1389084109
30	0.1386503708
31	0.1381475598
32	0.1380889971
33	0.1377389119
34	0.1374923282
35	0.1368600884
36	0.1364972464
37	0.1364505539
38	0.1364273948
39	0.1362667983
40	0.1360745513
41	0.1360003162
42	0.1356832998
43	0.1354530487
44	0.1354336329
45	0.1353541276
46	0.1353212951
47	0.1352833994
48	0.1351465923
49	0.1348276452
50	0.134493134
51	0.1341624546
52	0.1338158565
53	0.1337074393
54	0.1334024901
55	0.1333377609
56	0.1331524095
57	0.1326849724
58	0.1323532981
59	0.1317907423
60	0.1315633381
61	0.1313293733
62	0.1311785388
63	0.1310702004
64	0.1308057771
65	0.1305939371
66	0.1304604399
67	0.130429942
68	0.1303190425
69	0.130075946
70	0.1300369864
71	0.1300045971
72	0.1299754094
73	0.1298152956
74	0.1296994312
75	0.1296877285
76	0.1295820301
77	0.1295571964
78	0.1294886156
79	0.1293806319
80	0.1293580146
81	0.1293350919
82	0.1293197642
83	0.1291988365
84	0.1288614686
85	0.1287612176
86	0.1284809149
87	0.12784505
88	0.1277518226
89	0.1274345107
90	0.1274301567
91	0.1274254284
92	0.1273535574
93	0.1269538343
94	0.1268656308
95	0.1262806153
96	0.1260505711
97	0.1259806013
98	0.1259398291
99	0.1258758683
100	0.1258202215
101	0.1258015445
102	0.1257834487
103	0.1257448831
104	0.1257335646
105	0.125714001
106	0.1256066674
107	0.1252351962
108	0.1251541739
109	0.1246241944
110	0.1244377693
111	0.1243053064
112	0.1242717548
113	0.124069204
114	0.1239233442
115	0.1238669684
116	0.123803441
117	0.1237424748
118	0.1237257089
119	0.1236276054
120	0.1232192826
121	0.1230846033
122	0.1229359754
123	0.1228487176
124	0.1228113538
125	0.1227552341
126	0.1227351583
127	0.1226410149
128	0.122605503
129	0.1224844079
130	0.1224283276
131	0.122388048
132	0.122367194
133	0.1223491868
134	0.1223336424
135	0.1223045827
136	0.1222608651
137	0.1222100058
138	0.1221843151
139	0.1221241566
140	0.1220601367
141	0.1220145278
142	0.1219552461
143	0.1219527538
144	0.121926807
145	0.1219247383
146	0.1218362689
147	0.1217976047
148	0.1217827892
149	0.1217700621
