iter	Passed	Remaining
0	136	20386
1	137	10211
2	139	6814
3	139	5101
4	140	4078
5	141	3395
6	142	2906
7	143	2540
8	143	2255
9	144	2026
10	145	1837
11	146	1681
12	146	1549
13	147	1435
14	148	1336
15	149	1251
16	150	1175
17	150	1107
18	151	1046
19	152	991
20	153	941
21	153	895
22	154	854
23	155	816
24	156	781
25	157	749
26	157	718
27	158	690
28	159	664
29	160	640
30	160	617
31	161	595
32	162	575
33	163	556
34	163	538
35	164	521
36	165	505
37	166	490
38	167	475
39	167	461
40	168	448
41	169	435
42	170	423
43	170	411
44	171	400
45	172	389
46	173	379
47	174	369
48	174	360
49	175	351
50	176	342
51	177	334
52	177	325
53	178	317
54	179	310
55	180	302
56	181	295
57	181	288
58	182	281
59	183	275
60	184	268
61	185	262
62	185	256
63	186	250
64	187	245
65	188	239
66	189	234
67	189	228
68	190	223
69	191	218
70	192	214
71	193	209
72	193	204
73	194	199
74	195	195
75	196	191
76	196	186
77	197	182
78	198	178
79	199	174
80	199	170
81	200	166
82	201	162
83	202	158
84	202	155
85	203	151
86	204	148
87	205	144
88	206	141
89	207	138
90	207	134
91	208	131
92	209	128
93	210	125
94	210	122
95	211	119
96	212	116
97	213	113
98	214	110
99	214	107
100	215	104
101	216	101
102	217	99
103	217	96
104	218	93
105	219	91
106	220	88
107	221	86
108	222	83
109	222	81
110	223	78
111	224	76
112	225	73
113	225	71
114	226	68
115	227	66
116	228	64
117	228	62
118	229	59
119	230	57
120	231	55
121	231	53
122	232	51
123	233	48
124	234	46
125	235	44
126	235	42
127	236	40
128	237	38
129	238	36
130	238	34
131	239	32
132	240	30
133	241	28
134	241	26
135	242	24
136	243	23
137	244	21
138	244	19
139	245	17
140	246	15
141	247	13
142	248	12
143	248	10
144	249	8
145	250	6
146	251	5
147	251	3
148	252	1
149	253	0
